period,region,qty_bills,total_bills,qty_pays,total_pays,qty_pay_adjust,qty_sb,sb_total,qty_incs,total_incs,qty_pfs,total_pfs,pays_vs_bills,%_real_apparent_delinquency,bills_vs_qty_sbs,cost_per_prop,total_inc_per_prop,qty_pf_per_prop,totla_pf_per_prop
2022-09-01,Región de Valparaíso,10773.0,1437257044,10291,737982103,1780,2514,722171838,2,22000,4684,42889652,0.7900306321358953,51.346563656152796,0.23336118072960177,67035.35115566694,0.0030463663691078467,0.43479068040471547,3981.21711686624
2022-09-01,Región de la Araucanía,1062.0,246949640,920,87987299,151,239,85078703,0,0,317,11144453,0.724105461393597,35.62965266926488,0.22504708097928436,80111.77306967985,0.0,0.2984934086629002,10493.835216572505
2022-09-01,Región de los Lagos,1425.0,150054599,1116,86705051,65,305,83935011,1,100599,362,2003957,0.7375438596491228,57.7823349486276,0.21403508771929824,58901.76210526316,0.11985344232575366,0.2540350877192982,1406.2856140350877
2022-09-01,Región de los Ríos,91.0,8070832,66,4288951,0,32,5984354,0,0,0,0,0.7252747252747253,53.14137377658214,0.3516483516483517,65762.13186813187,0.0,0.0,0.0
2022-09-01,Región del Bío Bío,5790.0,618722862,5308,340611992,474,1129,300093657,0,0,1398,24279401,0.834887737478411,55.0508172429549,0.19499136442141624,51829.647150259065,0.0,0.24145077720207253,4193.333506044905
2022-09-01,Región del Libertador General Bernardo O’Higgins,996.0,95540235,796,47548283,50,190,53838829,0,0,84,944574,0.748995983935743,49.767810388994754,0.19076305220883535,54055.04919678715,0.0,0.08433734939759036,948.3674698795181
2022-09-01,Región del Maule,610.0,44244198,568,30428919,74,50,26932721,0,0,136,780262,0.8098360655737705,68.77493632046398,0.08196721311475409,44152.001639344264,0.0,0.22295081967213115,1279.1180327868854
2022-09-01,Santiago Metropolitan Region,2912.0,1749754494,1979,201663750,134,691,315834523,0,0,1272,21965822,0.6335851648351648,11.525259725951017,0.23729395604395603,108459.65762362638,0.0,0.4368131868131868,7543.208104395604
2022-09-01,Tarapacá,5425.0,1217743832,4991,496926380,816,1434,438660798,4,116000,1495,22478424,0.7695852534562212,40.807135864023,0.26433179723502304,80859.1332718894,0.026444122777527067,0.27557603686635945,4143.488294930876
2022-09-01,Valparaiso Region,1351.0,887477298,912,108465001,53,288,110723140,0,0,104,2167171,0.6358253145817913,12.221721191565624,0.21317542561065878,81956.43227239083,0.0,0.076980014803849,1604.1236121391562
2022-09-01,Valparaíso,36750.0,7343402893,32898,3213616921,3084,10503,3237249777,97,5586371,13009,200679297,0.811265306122449,43.761958424797,0.2857959183673469,88088.42930612245,0.1725653373950329,0.3539863945578231,5460.661142857143
2022-09-01,Valparíso,192.0,52776746,160,24595097,14,73,27917755,0,0,0,0,0.7604166666666666,46.60214746850819,0.3802083333333333,145404.97395833334,0.0,0.0,0.0
2022-09-01,desconocido,5036.0,1924006181,3767,458043638,182,1156,470328422,0,0,1359,11570337,0.7118745035742653,23.806765410801972,0.22954725972994441,93393.2529785544,0.0,0.2698570293884035,2297.525218427323
2022-09-01,Ñuble,283.0,30742870,158,16456374,2,54,16362030,0,0,36,2237504,0.5512367491166078,53.52907519694811,0.19081272084805653,57816.360424028266,0.0,0.127208480565371,7906.374558303887
2022-10-01,Antofagasta,7734.0,1067180597,6893,527405302,749,1362,565116405,0,0,3344,52936582,0.7944142746314973,49.42043581776253,0.1761055081458495,73069.09813809155,0.0,0.4323765192655806,6844.657615722783
